LicenseClass,SubClass,LicenseNumber,LicenseDate,LicenseEndDate,LicenseYear,CertificateNumber,LicenseStatus,TradeName,CorpName,Long,Lat,EstablishmentDesc,DayPerWeek,Description,AddrStreet,AddrZip,CityStateZip
LBD7,BWL,193,5/1/2016,4/30/2017,2016,554,Renewed,BERMUDA BAR & LIQUORS,"JH CHOO, INC.",-76.592785,39.312196,Tavern,7 days,"Beer, Wine, & Liquor",1801-03 NORTH AVENUE EAST,21213,"Baltimore, MD 21213"
AE,AE,11,7/1/2015,6/30/2016,2015,1281,Renewed,CLUB PUSSYCAT,"CLUB PUSSYCAT, INC.",-76.609703,39.289758,Adult,,,411 BALTIMORE STREET EAST,21202,"Baltimore, MD 21202"
LBD7,BWL,347,5/1/2016,4/30/2017,2016,989,Renewed,SANTA CLARA,"JUAN PORTILLO, LLC",-76.595277,39.284626,Tavern,7 days,"Beer, Wine, & Liquor",529 BOND STREET SOUTH,21231,"Baltimore, MD 21231"
LBD7,BWL,116,5/1/2016,4/30/2017,2016,346,Renewed,GODDESS,"36 S. EUTAW, INC.",-76.620818,39.287661,Tavern,7 days,"Beer, Wine, & Liquor",36-38 EUTAW STREET SOUTH,21201,"Baltimore, MD 21201"
LBD7,BWL,351,5/1/2016,4/30/2017,2016,994,Renewed,MUSTANG INN,"GINGER, INC.",-76.571291,39.286452,Tavern,7 days,"Beer, Wine, & Liquor",3203 EASTERN AVENUE,21224,"Baltimore, MD 21224"
LBD7,BWL,84,5/1/2016,4/30/2017,2016,238,Renewed,MARSHALL'S BAR,"MARSHALL'S, INC.",-76.649949,39.268825,Tavern,7 days,"Beer, Wine, & Liquor",2351 WASHINGTON BOULEVARD,21230,"Baltimore, MD 21230"
LBD7,BWL,373,5/1/2016,4/30/2017,2016,1051,Renewed,PENN LIQUOR,"HYUN'S LIQUORS, INC.",-76.607531,39.302356,Tavern,7 days,"Beer, Wine, & Liquor",1041 GREENMOUNT AVENUE,21202,"Baltimore, MD 21202"
LBD7,BWL,77,5/1/2016,4/30/2017,2016,218,Renewed,AVENUE LIQUOR & BAR,N/A,-76.608167,39.304749,Tavern,7 days,"Beer, Wine, & Liquor",1238 GREENMOUNT AVENUE,21202,"Baltimore, MD 21202"
LBD7,BWL,439,3/1/2016,4/30/2016,2015,TT1255,Transferred,DESIRE,"DESIRE,LLC",-76.564992,39.296721,Tavern,7 days,"Beer, Wine, & Liquor",3821-23 PULASKI HIGHWAY,21224,"Baltimore, MD 21224"
LBD7,BWL,2,3/1/2017,4/30/2017,2016,T0007,Transferred,PORT CITY TAVERN,"PORT CITY TAVERN,INC.",-76.587863,39.285814,Tavern,7 days,"Beer, Wine, & Liquor",2036 EASTERN AVENUE,21231,"Baltimore, MD 21231"
LBD7,BWL,91,10/21/2016,4/30/2017,2016,T0260,Transferred,LOMBARD LIQUOR & BAR,"BADWAL, LLC",-76.633785,39.286752,Tavern,7 days,"Beer, Wine, & Liquor",1000 LOMBARD STREET WEST,21223,"Baltimore, MD 21223"
LBD7,BWL,103,5/1/2016,4/30/2017,2016,300,Renewed,TONY'S PLACE,"G & X, INC.",-76.560657,39.299693,Tavern,7 days,"Beer, Wine, & Liquor",4215 MONUMENT STREET EAST,21205,"Baltimore, MD 21205"
LBD7,BWL,82,5/1/2016,4/30/2017,2016,233,Renewed,BOOKMAKERS,"CROSS STREET MANAGEMENT,LLC",-76.613207,39.276957,Tavern,7 days,"Beer, Wine, & Liquor",31-33 CROSS STREET EAST,21230,"Baltimore, MD 21230"
LBD7,BWL,5,4/28/2017,4/30/2017,2016,T0015,Transferred,THUMPERS,"4600 CURTIS AVENUE, LLC",-76.586753,39.22448,Tavern,7 days,"Beer, Wine, & Liquor",4600 CURTIS AVENUE,21226,"Baltimore, MD 21226"
LBD7,BWL,374,5/1/2016,4/30/2017,2016,1056,Renewed,CLUB PUSSYCAT,"CLUB PUSSYCAT, INC.",-76.609703,39.289758,Tavern,7 days,"Beer, Wine, & Liquor",411 BALTIMORE STREET EAST,21202,"Baltimore, MD 21202"
LBD7,BWL,148,5/1/2016,4/30/2017,2016,432,Renewed,GARRISON LOUNGE,"DMT ENTERPRISES, INC.",-76.674599,39.310912,Tavern,7 days,"Beer, Wine, & Liquor",3403-05 CLIFTON AVENUE,21216,"Baltimore, MD 21216"
LBD7,BWL,193,5/1/2016,4/30/2017,2016,554,Renewed,BERMUDA BAR & LIQUORS,"JH CHOO, INC.",-76.592785,39.312196,Tavern,7 days,"Beer, Wine, & Liquor",1801-03 NORTH AVENUE EAST,21213,"Baltimore, MD 21213"
LBD7,BWL,289,5/1/2016,4/30/2017,2016,826,Renewed,HOME SLYCE,"900 PIZZA , LLC",-76.576955,39.282046,Tavern,7 days,"Beer, Wine, & Liquor",900 KENWOOD AVENUE SOUTH,21224,"Baltimore, MD 21224"
LBD7,BWL,3,2/17/2017,4/30/2017,2016,TT0009,Transferred,CLUB PARADISE,"KIMSINK ENTERPRISES, INC",-76.639074,39.303361,Tavern,7 days,"Beer, Wine, & Liquor",1300-02 LAURENS STREET,21217,"Baltimore, MD 21217"
LBD7,BWL,109,5/1/2016,4/30/2017,2016,322,Renewed,THE ROCKWELL,"EXILE ON BROADWAY, LLC",-76.593495,39.283346,Tavern,7 days,"Beer, Wine, & Liquor",702 BROADWAY SOUTH,21231,"Baltimore, MD 21231"
LBD7,BWL,439,3/1/2016,4/30/2016,2015,TT1255,Transferred,DESIRE,"DESIRE,LLC",-76.564992,39.296721,Tavern,7 days,"Beer, Wine, & Liquor",3821-23 PULASKI HIGHWAY,21224,"Baltimore, MD 21224"
LBD7,BWL,152,5/1/2016,4/30/2017,2016,440,Renewed,NORTH CAFE,"MK LIQUORS, LLC",-76.680609,39.346042,Tavern,7 days,"Beer, Wine, & Liquor",3716 BELVEDERE AVENUE WEST,21215,"Baltimore, MD 21215"
LBD7,BWL,264,5/1/2016,4/30/2017,2016,760,Renewed,BALTIMORE MARINE CENTER,"BALTIMORE MARINE CENTER, LLC",-76.577702,39.278985,Tavern,7 days,"Beer, Wine, & Liquor",2701 BOSTON STREET,21224,"Baltimore, MD 21224"
LBD7,BWL,325,5/1/2015,4/30/2016,2015,885,Renewed,HALF MILE TRACK,"TOM & DAN, LLC",-76.683695,39.281705,Tavern,7 days,"Beer, Wine, & Liquor",4108 FREDERICK AVENUE,21229,"Baltimore, MD 21229"
LBD7,BWL,59,5/1/2016,4/30/2017,2016,181,Renewed,TUSKER LOUNGE,"5302 FRANKFORD, LLC",-76.540838,39.32451,Tavern,7 days,"Beer, Wine, & Liquor",5302 FRANKFORD AVENUE,21206,"Baltimore, MD 21206"
LBD7,BWL,197,5/1/2016,4/30/2017,2016,572,Renewed,CLUB 4040 LIQUOR & GROCERY,"CLUB 4040, INC.",-76.639273,39.307318,Tavern,7 days,"Beer, Wine, & Liquor",2139-43 PENNSYLVANIA AVENUE,21217,"Baltimore, MD 21217"
LBD7,BWL,445,3/4/2016,4/30/2016,2015,T1296,Transferred,CLOCK,"QG,LLC",-76.612183,39.287999,Tavern,7 days,"Beer, Wine, & Liquor",31 CALVERT STREET  SOUTH,21202,"Baltimore, MD 21202"
LBD7,BWL,340,5/1/2016,4/30/2017,2016,975,Renewed,B&O CAFE,"CHEN'S LIQUOR,INC",-76.638144,39.285515,Tavern,7 days,"Beer, Wine, & Liquor",1301-03 PRATT STREET WEST,21223,"Baltimore, MD 21223"
LBD7,BWL,326,5/1/2016,4/30/2017,2016,933,Renewed,IN LIKE FLYNN TAVERN,"IN LIKE FLYNN TAVERN, LLC",-76.590205,39.269516,Tavern,7 days,"Beer, Wine, & Liquor",1371 ANDRE STREET,21230,"Baltimore, MD 21230"
